fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
2602999999,26,29,NCNTY26029N26029,"Charlevoix County, MI",22900,26200,29450,32700,35350,37950,40550,43200,54950,62800,70650,78500,84750,91050,97300,103600,2602999999,Charlevoix County
2603199999,26,31,NCNTY26031N26031,"Cheboygan County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2603199999,Cheboygan County
2603399999,26,33,NCNTY26033N26033,"Chippewa County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2603399999,Chippewa County
2603599999,26,35,NCNTY26035N26035,"Clare County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2603599999,Clare County
2603799999,26,37,METRO29620M29620,"Lansing-East Lansing, MI MSA",26050,29750,33450,37150,40150,43100,46100,49050,62400,71350,80250,89150,96300,103450,110550,117700,2603799999,Clinton County
2603999999,26,39,NCNTY26039N26039,"Crawford County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2603999999,Crawford County
2604199999,26,41,NCNTY26041N26041,"Delta County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2604199999,Delta County
2604399999,26,43,NCNTY26043N26043,"Dickinson County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2604399999,Dickinson County
2604599999,26,45,METRO29620M29620,"Lansing-East Lansing, MI MSA",26050,29750,33450,37150,40150,43100,46100,49050,62400,71350,80250,89150,96300,103450,110550,117700,2604599999,Eaton County
2604799999,26,47,NCNTY26047N26047,"Emmet County, MI",23800,27200,30600,33950,36700,39400,42100,44850,57050,65200,73350,81500,88000,94500,101050,107550,2604799999,Emmet County
2604999999,26,49,METRO22420M22420,"Flint, MI MSA",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2604999999,Genesee County
2605199999,26,51,NCNTY26051N26051,"Gladwin County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2605199999,Gladwin County
2605399999,26,53,NCNTY26053N26053,"Gogebic County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2605399999,Gogebic County
2605599999,26,55,NCNTY26055N26055,"Grand Traverse County, MI",27150,31000,34900,38750,41850,44950,48050,51150,65100,74400,83700,93000,100450,107900,115300,122750,2605599999,Grand Traverse County
2605799999,26,57,NCNTY26057N26057,"Gratiot County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2605799999,Gratiot County
2605999999,26,59,NCNTY26059N26059,"Hillsdale County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2605999999,Hillsdale County
2606199999,26,61,NCNTY26061N26061,"Houghton County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2606199999,Houghton County
2606399999,26,63,NCNTY26063N26063,"Huron County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2606399999,Huron County
2606599999,26,65,METRO29620M29620,"Lansing-East Lansing, MI MSA",26050,29750,33450,37150,40150,43100,46100,49050,62400,71350,80250,89150,96300,103450,110550,117700,2606599999,Ingham County
2606799999,26,67,NCNTY26067N26067,"Ionia County, MI",21700,24800,27900,31000,33500,36000,38450,40950,52100,59500,66950,74400,80350,86300,92250,98200,2606799999,Ionia County
2606999999,26,69,NCNTY26069N26069,"Iosco County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2606999999,Iosco County
2607199999,26,71,NCNTY26071N26071,"Iron County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2607199999,Iron County
2607399999,26,73,NCNTY26073N26073,"Isabella County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2607399999,Isabella County
2607599999,26,75,METRO27100M27100,"Jackson, MI MSA",22650,25850,29100,32300,34900,37500,40100,42650,54250,62000,69750,77500,83700,89900,96100,102350,2607599999,Jackson County
2607799999,26,77,METRO28020M28020,"Kalamazoo-Portage, MI MSA",25900,29600,33300,36950,39950,42900,45850,48800,62100,70950,79800,88700,95750,102850,109950,117050,2607799999,Kalamazoo County
2607999999,26,79,NCNTY26079N26079,"Kalkaska County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2607999999,Kalkaska County
2608199999,26,81,METRO24340M24340,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",26850,30650,34500,38300,41400,44450,47500,50600,64350,73550,82750,91900,99250,106650,114000,121350,2608199999,Kent County
2608399999,26,83,NCNTY26083N26083,"Keweenaw County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2608399999,Keweenaw County
2608599999,26,85,NCNTY26085N26085,"Lake County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2608599999,Lake County
2608799999,26,87,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",26750,30550,34350,38150,41250,44300,47350,50400,64100,73250,82400,91550,98900,106200,113550,120850,2608799999,Lapeer County
2608999999,26,89,NCNTY26089N26089,"Leelanau County, MI",26400,30200,33950,37700,40750,43750,46750,49800,63350,72400,81450,90500,97700,104950,112200,119450,2608999999,Leelanau County
2609199999,26,91,NCNTY26091N26091,"Lenawee County, MI",22750,26000,29250,32500,35100,37700,40300,42900,54600,62400,70200,78000,84250,90500,96700,102950,2609199999,Lenawee County
2609399999,26,93,METRO19820MM0440,"Livingston County, MI HUD Metro FMR Area",35850,41000,46100,51200,55300,59400,63500,67600,86000,98300,110600,122900,132700,142550,152350,162200,2609399999,Livingston County
2609599999,26,95,NCNTY26095N26095,"Luce County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2609599999,Luce County
2609799999,26,97,NCNTY26097N26097,"Mackinac County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2609799999,Mackinac County
2609999999,26,99,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",26750,30550,34350,38150,41250,44300,47350,50400,64100,73250,82400,91550,98900,106200,113550,120850,2609999999,Macomb County
2610199999,26,101,NCNTY26101N26101,"Manistee County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2610199999,Manistee County
